item_id,restaurant_id,name,price,category,description,availability,preparation_time
1,1,Caesar Salad,9.3,Salad,Breaded chicken in marinara sauce,True,11
2,1,Tomato Pizza,17.16,Burger,Creamy pasta with alfredo sauce,True,21
3,1,Penne Pasta,6.89,Burger,Grilled chicken in tortilla wrap,False,30
4,1,Grilled Chicken,7.24,Soup,Spicy penne pasta with tomato sauce,True,10
5,1,Penne Arrabbiata,8.4,Appetizer,Grilled chicken in tortilla wrap,True,19
6,1,Margherita Pizza,6.19,Pasta,Battered fish served with fries,True,15
7,1,Vegetable Stir Fry,13.26,Soup,Vegetable soup with pasta,False,29
8,1,Minestrone Soup,10.01,Pasta,Creamy pasta with alfredo sauce,False,29
9,1,Grilled Salmon,15.49,Pizza,Vegetable soup with pasta,True,26
10,1,Paneer,9.48,Appetizer,Crispy garlic bread,False,16
11,2,Fettuccine Pasta,18.29,Side Dish,Breaded chicken in marinara sauce,True,29
12,2,Cheeseburger,8.45,Wrap,Breaded chicken in marinara sauce,True,28
13,2,Vegetable Stir Fry,5.11,Pizza,Juicy beef patty with cheese,True,29
14,2,Eggplant Curry,15.63,Wrap,Crispy fried chicken,False,15
15,2,Caesar Salad,7.26,Pizza,Battered fish served with fries,False,17
16,2,Margherita Pizza,16.93,Pasta,Creamy pasta with alfredo sauce,True,15
17,2,Fettuccine Alfredo,15.4,Main Course,Crispy fried chicken,False,30
18,2,Chicken Wrap,19.83,Pizza,Spicy penne pasta with tomato sauce,False,23
19,2,Fish and Chips,11.77,Main Course,Fresh mozzarella with basil,True,26
20,2,Eggplant Parmesan,19.22,Burger,Creamy pasta with alfredo sauce,True,13
21,3,Vegetable Lasagna,5.99,Side Dish,Battered fish served with fries,True,20
22,3,Chicken Wrap,13.05,Main Course,Fresh mozzarella with basil,False,18
23,3,Fried Rice,13.14,Taco,Toasted bread with cheese,True,28
24,3,Caesar Chicken,12.59,Soup,Vegetable soup with pasta,True,12
25,3,Fried Chips,15.3,Pizza,Breaded chicken in marinara sauce,True,10
26,3,Chicken Parmesan,16.83,Salad,Toasted bread with cheese,False,23
27,3,Fettuccine Pasta,15.57,Side Dish,Spicy tuna rolls with rice,True,26
28,3,Fried Chicken,15.91,Main Course,Creamy pasta with alfredo sauce,False,12
29,3,Beef Tacos,9.86,Pizza,Crispy fried chicken,True,28
30,3,Vegetable Stir Fry,8.4,Main Course,Layered pasta with tomato sauce,False,22
31,4,Caesar Salad,12.77,Main Course,Crispy fried chicken,True,17
32,4,Spicy Chicken Roll,16.23,Salad,Seasoned beef in tacos,True,28
33,4,Fettuccine Alfredo,6.19,Main Course,Juicy beef patty with cheese,True,20
34,4,Fish and Chips,13.39,Wrap,Grilled chicken in tortilla wrap,False,11
35,4,Grilled Salmon,6.94,Side Dish,Classic pasta with rich sauce,True,16
36,4,Spaghetti Carbonara,13.3,Salad,Crispy fried chicken,False,25
37,4,Spicy Tuna Roll,11.82,Pizza,Grilled salmon with seasoning,True,10
38,4,Penne Arrabbiata,5.07,Taco,Spicy penne pasta with tomato sauce,True,13
39,4,Chicken Parmesan,19.08,Pizza,Crispy garlic bread,False,29
40,4,Vegetable Stir Fry,5.17,Sushi,Breaded chicken in marinara sauce,False,28
41,5,Margherita Pizza,9.84,Side Dish,Traditional pizza with mozzarella,True,15
42,5,Vegetable Lasagna,8.11,Salad,Spicy penne pasta with tomato sauce,False,11
43,5,Spaghetti Carbonara,5.44,Salad,Seasoned beef in tacos,True,25
44,5,Eggplant Parmesan,11.49,Appetizer,Seasoned beef in tacos,True,20
45,5,Chicken Parmesan,5.83,Sushi,Breaded chicken in marinara sauce,True,18
46,5,Garlic Naan,5.64,Sushi,Grilled salmon with seasoning,True,16
47,5,Fish and Chips,7.36,Pizza,Classic pasta with rich sauce,False,23
48,5,Grilled Cheese,9.28,Taco,Fried eggplant with marinara,True,11
49,5,Chicken Salad,7.13,Pizza,Fresh mozzarella with basil,True,21
50,5,Fried Rice,18.73,Wrap,Layered pasta with tomato sauce,False,13
51,6,Fried Chicken,17.65,Sushi,Creamy pasta with alfredo sauce,True,28
52,6,Chicken Salad,8.03,Side Dish,Seasoned beef in tacos,True,26
53,6,Garlic Bread,19.13,Wrap,Spicy penne pasta with tomato sauce,False,25
54,6,Margherita Pizza,13.17,Taco,Grilled salmon with seasoning,False,16
55,6,Vegetable Lasagna,16.12,Salad,Fried eggplant with marinara,True,22
56,6,Minestrone Soup,16.8,Soup,Grilled salmon with seasoning,False,18
57,6,Grilled Salmon,7.03,Side Dish,Toasted bread with cheese,True,18
58,6,Fish Curry,13.48,Sushi,Fried eggplant with marinara,True,30
59,6,Chicken Wrap,18.85,Soup,Crispy garlic bread,True,18
60,6,Fish and Chips,19.95,Salad,Crispy fried chicken,False,10
61,7,Fried Chicken,17.59,Soup,Classic pasta with rich sauce,False,18
62,7,Vegetable Salad,15.05,Taco,Crispy garlic bread,True,22
63,7,Garlic Naan,17.34,Wrap,Grilled chicken in tortilla wrap,True,11
64,7,Garlic Bread,9.29,Main Course,Creamy pasta with alfredo sauce,True,30
65,7,Caprese Salad,12.75,Wrap,Stir-fried vegetables with soy sauce,True,28
66,7,Chicken Parmesan,16.4,Pizza,Seasoned beef in tacos,True,27
67,7,Grilled Salmon,14.3,Wrap,Battered fish served with fries,False,24
68,7,Eggplant Parmesan,15.28,Main Course,Vegetable soup with pasta,False,18
69,7,Cheeseburger,8.15,Wrap,Creamy pasta with alfredo sauce,True,21
70,7,Fettuccine Alfredo,15.72,Sushi,Juicy beef patty with cheese,False,22
71,8,Vegetable Lasagna,19.18,Pasta,Breaded chicken in marinara sauce,False,17
72,8,Chicken Wrap,6.51,Taco,Fresh salad with caesar dressing,True,20
73,8,Spaghetti,11.7,Soup,Spicy tuna rolls with rice,False,26
74,8,Penne Arrabbiata,17.04,Sushi,Fresh salad with caesar dressing,True,19
75,8,Chicken Parmesan,6.54,Appetizer,Traditional pizza with mozzarella,True,17
76,8,Eggplant Parmesan,15.61,Burger,Creamy pasta with alfredo sauce,True,27
77,8,Caesar Salad,6.85,Main Course,Crispy garlic bread,False,12
78,8,Spaghetti Carbonara,15.44,Pasta,Battered fish served with fries,True,27
79,8,Vegetable Stir Fry,14.2,Sushi,Crispy garlic bread,True,11
80,8,Garlic Bread,13.63,Pasta,Toasted bread with cheese,True,13
81,9,Fettuccine Alfredo,8.76,Pizza,Layered pasta with tomato sauce,True,11
82,9,Spaghetti,16.62,Taco,Juicy beef patty with cheese,False,22
83,9,Spaghetti Carbonara,15.7,Appetizer,Classic pasta with rich sauce,True,20
84,9,Spicy Tuna Roll,13.77,Salad,Juicy beef patty with cheese,False,20
85,9,Chicken Soup,17.09,Taco,Layered pasta with tomato sauce,False,13
86,9,Chicken Wrap,10.25,Side Dish,Breaded chicken in marinara sauce,True,30
87,9,Caesar Salad,15.92,Soup,Creamy pasta with alfredo sauce,False,30
88,9,Margherita Pizza,19.86,Taco,Traditional pizza with mozzarella,True,19
89,9,Caprese Salad,18.92,Pizza,Layered pasta with tomato sauce,False,30
90,9,Minestrone Soup,19.83,Taco,Spicy tuna rolls with rice,True,24
91,10,Caprese Salad,8.98,Pasta,Grilled chicken in tortilla wrap,True,16
92,10,Fettuccine Alfredo,5.81,Taco,Layered pasta with tomato sauce,False,10
93,10,Vegetable Stir Fry,9.75,Pasta,Fresh salad with caesar dressing,True,15
94,10,Cheeseburger,17.78,Appetizer,Breaded chicken in marinara sauce,True,26
95,10,Garlic Bread,17.63,Burger,Vegetable soup with pasta,True,23
96,10,Caesar Salad,8.23,Burger,Fresh mozzarella with basil,True,23
97,10,Grilled Cheese,7.34,Burger,Grilled chicken in tortilla wrap,True,10
98,10,Chicken Parmesan,13.38,Main Course,Vegetable soup with pasta,True,29
99,10,Eggplant Parmesan,12.09,Salad,Crispy fried chicken,False,30
100,10,Grilled Salmon,14.96,Side Dish,Fresh mozzarella with basil,False,29
101,11,Penne Grilled Arrabbiata,15.89,Burger,Creamy pasta with alfredo sauce,True,17
102,11,Penne Arrabbiata,18.11,Salad,Grilled chicken in tortilla wrap,False,26
103,11,Penne Grilled Cheese,18.37,Main Course,Spicy tuna rolls with rice,True,29
104,11,Grilled Salmon,10.08,Appetizer,Stir-fried vegetables with soy sauce,False,16
105,11,Penne Chicken Parmesan,12.05,Side Dish,Stir-fried vegetables with soy sauce,False,10
106,11,Grilled Cheese,6.83,Salad,Grilled salmon with seasoning,True,30
107,11,Minestrone Soup,6.05,Appetizer,Fried eggplant with marinara,False,16
108,11,Margherita Pizza,5.41,Taco,Toasted bread with cheese,False,27
109,11,Chicken Wrap,5.12,Side Dish,Fried eggplant with marinara,True,15
110,11,Grilled Chicken,11.37,Main Course,Vegetable soup with pasta,False,16
111,12,Spaghetti Carbonara,7.42,Pizza,Vegetable soup with pasta,False,21
112,12,Chicken Penne,13.99,Appetizer,Fresh mozzarella with basil,False,21
113,12,Chicken Parmesan,9.79,Wrap,Seasoned beef in tacos,False,21
114,12,Grilled Penne Cheese,19.93,Pasta,Spicy tuna rolls with rice,True,23
115,12,Penne Pizza,16.78,Burger,Battered fish served with fries,False,27
116,12,Fried Rice,6.99,Sushi,Grilled salmon with seasoning,False,17
117,12,Fried Chicken,17.14,Pasta,Seasoned beef in tacos,False,11
118,12,Vegetable Lasagna,19.83,Taco,Juicy beef patty with cheese,True,19
119,12,Minestrone Soup,16.09,Taco,Fresh salad with caesar dressing,True,23
120,12,Cheeseburger,10.5,Pizza,Crispy fried chicken,False,10
121,13,Spicy Tuna Roll,14.92,Salad,Stir-fried vegetables with soy sauce,True,28
122,13,Chicken Wrap,15.57,Sushi,Stir-fried vegetables with soy sauce,True,28
123,13,Caprese Salad,19.65,Burger,Crispy fried chicken,False,17
124,13,Vegetable Stir Fry,13.78,Main Course,Fresh mozzarella with basil,True,28
125,13,Beef Tacos,15.62,Sushi,Stir-fried vegetables with soy sauce,True,23
126,13,Spaghetti Carbonara,9.37,Wrap,Battered fish served with fries,True,20
127,13,Vegetable Lasagna,11.14,Soup,Battered fish served with fries,True,21
128,13,Chicken Salad,18.29,Main Course,Grilled salmon with seasoning,True,20
129,13,Penne Arrabbiata,6.16,Burger,Breaded chicken in marinara sauce,True,30
130,13,Vegetable Salad Fry,5.62,Sushi,Fried eggplant with marinara,True,25
131,14,Tomato Soup,11.91,Burger,Breaded chicken in marinara sauce,True,23
132,14,Fried rice,16.07,Soup,Breaded chicken in marinara sauce,False,27
133,14,Cheeseburger,12.92,Main Course,Spicy penne pasta with tomato sauce,False,30
134,14,Fried Chicken,10.91,Wrap,Traditional pizza with mozzarella,False,29
135,14,Chicken Parmesan,7.94,Soup,Classic pasta with rich sauce,False,13
136,14,Garlic Bread,14.75,Main Course,Grilled salmon with seasoning,False,16
137,14,Minestrone Soup,9.12,Side Dish,Fried eggplant with marinara,True,30
138,14,Margherita Pizza,15.16,Pizza,Stir-fried vegetables with soy sauce,False,26
139,14,Eggplant Parmesan,18.1,Soup,Fresh mozzarella with basil,False,28
140,14,Chicken Wrap,19.99,Main Course,Crispy fried chicken,False,11
141,15,Spicy Curry,7.69,Main Course,Vegetable soup with pasta,True,17
142,15,Vegetable Lasagna,13.08,Soup,Spicy tuna rolls with rice,True,13
143,15,Pasta Alfredo,6.23,Soup,Stir-fried vegetables with soy sauce,True,12
144,15,Fettuccine Alfredo,7.21,Side Dish,Juicy beef patty with cheese,True,29
145,15,Fish and Chips,5.01,Soup,Crispy garlic bread,True,23
146,15,Penne Arrabbiata,6.23,Pasta,Grilled salmon with seasoning,False,13
147,15,Spicy Tuna Roll,5.68,Wrap,Juicy beef patty with cheese,False,28
148,15,Garlic Bread,6.37,Main Course,Crispy garlic bread,False,10
149,15,Caprese Salad,17.19,Salad,Fried eggplant with marinara,True,25
150,15,Vegetable Salad,10.96,Pizza,Toasted bread with cheese,True,13
151,16,Eggplant Parmesan,13.78,Wrap,Spicy tuna rolls with rice,True,28
152,16,Chicken Salad,16.02,Appetizer,Traditional pizza with mozzarella,True,28
153,16,Garlic Naan,16.08,Side Dish,Layered pasta with tomato sauce,True,12
154,16,Grilled Cheese,11.64,Appetizer,Crispy garlic bread,True,29
155,16,Minestrone Soup,8.79,Salad,Fresh mozzarella with basil,False,14
156,16,Onion Pizza,6.37,Soup,Seasoned beef in tacos,False,21
157,16,Margherita Pizza,8.17,Appetizer,Layered pasta with tomato sauce,True,14
158,16,Caesar Salad,19.42,Pizza,Toasted bread with cheese,True,10
159,16,Vegetable Lasagna,6.46,Main Course,Traditional pizza with mozzarella,False,29
160,16,Fried Chicken,10.51,Sushi,Grilled salmon with seasoning,True,26
161,17,Tomato Soup,18.92,Sushi,Creamy pasta with alfredo sauce,False,29
162,17,Veg Tacos,9.03,Pasta,Juicy beef patty with cheese,True,19
163,17,Chicken Tacos,11.37,Appetizer,Seasoned beef in tacos,True,13
164,17,Beef Tacos,5.9,Taco,Stir-fried vegetables with soy sauce,False,17
165,17,Chicken Parmesan,13.06,Salad,Grilled chicken in tortilla wrap,False,30
166,17,Caesar Salad,7.13,Soup,Seasoned beef in tacos,False,29
167,17,Vegetable Lasagna,5.39,Appetizer,Spicy tuna rolls with rice,False,13
168,17,Minestrone Soup,10.24,Wrap,Stir-fried vegetables with soy sauce,False,15
169,17,Penne Pasta,8.45,Pizza,Crispy fried chicken,False,19
170,17,Penne Arrabbiata,15.02,Sushi,Seasoned beef in tacos,False,12
171,18,Minestrone Soup,10.87,Pasta,Toasted bread with cheese,True,14
172,18,Fish and Chips,14.65,Sushi,Fresh mozzarella with basil,True,15
173,18,Garlic Bread,9.21,Main Course,Classic pasta with rich sauce,True,16
174,18,Cheeseburger,18.58,Pizza,Battered fish served with fries,True,13
175,18,Vegetable Stir Fry,11.7,Side Dish,Creamy pasta with alfredo sauce,False,19
176,18,Eggplant Parmesan,15.91,Appetizer,Spicy tuna rolls with rice,True,24
177,18,Chicken Salad,11.9,Salad,Juicy beef patty with cheese,True,27
178,18,Chicken Wrap,9.65,Pizza,Battered fish served with fries,False,13
179,18,Caprese Salad,11.49,Salad,Fried eggplant with marinara,True,15
180,18,Vegetable Lasagna,11.03,Burger,Battered fish served with fries,False,16
181,19,Penne Pasta,6.67,Soup,Seasoned beef in tacos,False,27
182,19,Grilled Salmon,11.77,Side Dish,Fresh salad with caesar dressing,True,16
183,19,Vegetable Stir Fry,5.15,Taco,Stir-fried vegetables with soy sauce,False,17
184,19,Fish and Chips,12.53,Appetizer,Crispy fried chicken,True,19
185,19,Spaghetti Carbonara,16.78,Taco,Creamy pasta with alfredo sauce,False,15
186,19,Penne Arrabbiata,19.79,Appetizer,Fried eggplant with marinara,True,15
187,19,Chicken Parmesan,9.52,Salad,Toasted bread with cheese,True,14
188,19,Minestrone Soup,12.8,Pasta,Crispy fried chicken,True,26
189,19,Fettuccine Alfredo,10.79,Main Course,Traditional pizza with mozzarella,True,12
190,19,Penne Alfredo,17.61,Burger,Toasted bread with cheese,True,15
191,20,Cheeseburger,6.51,Pizza,Layered pasta with tomato sauce,True,19
192,20,Spaghetti Carbonara,15.77,Burger,Battered fish served with fries,False,13
193,20,Garlic Bread,18.83,Sushi,Classic pasta with rich sauce,False,18
194,20,Fish Curry,13.12,Wrap,Crispy fried chicken,False,14
195,20,Fish and Chips,8.85,Salad,Creamy pasta with alfredo sauce,True,30
196,20,Caprese Salad,14.67,Soup,Stir-fried vegetables with soy sauce,False,26
197,20,Penne Arrabbiata,8.51,Pizza,Layered pasta with tomato sauce,True,29
198,20,Fried Chicken,13.26,Taco,Creamy pasta with alfredo sauce,True,14
199,20,Chicken Wrap,16.88,Appetizer,Layered pasta with tomato sauce,False,22
200,20,Vegetable Stir Fry,16.23,Wrap,Spicy penne pasta with tomato sauce,True,26
201,21,Grilled Salmon,9.57,Burger,Breaded chicken in marinara sauce,False,21
202,21,Beef Tacos,18.28,Soup,Breaded chicken in marinara sauce,True,21
203,21,Spicy Tuna Roll,7.06,Pizza,Fresh mozzarella with basil,False,29
204,21,Chicken Salad,19.6,Soup,Fried eggplant with marinara,True,13
205,21,Chicken Tacos,13.35,Wrap,Toasted bread with cheese,False,22
206,21,Chicken Parmesan,13.57,Wrap,Breaded chicken in marinara sauce,True,11
207,21,Cheeseburger,6.85,Salad,Crispy garlic bread,True,25
208,21,Caesar Salad,17.81,Burger,Breaded chicken in marinara sauce,True,30
209,21,Veg Tacos,9.58,Appetizer,Battered fish served with fries,True,24
210,21,Grilled Cheese,10.31,Sushi,Classic pasta with rich sauce,False,15
211,22,Garlic Bread,8.89,Salad,Crispy garlic bread,True,12
212,22,Penne pasta,9.56,Sushi,Spicy tuna rolls with rice,True,20
213,22,Chicken Curry,9.49,Wrap,Toasted bread with cheese,False,14
214,22,Vegetable Stir Fry,8.32,Pasta,Battered fish served with fries,False,28
215,22,Spaghetti Spicy,14.15,Wrap,Grilled chicken in tortilla wrap,False,19
216,22,Spicy Curry,11.05,Pizza,Creamy pasta with alfredo sauce,True,27
217,22,Spaghetti Carbonara,5.87,Pasta,Seasoned beef in tacos,True,13
218,22,Chicken Wrap,13.2,Side Dish,Breaded chicken in marinara sauce,True,17
219,22,Penne Arrabbiata,5.73,Burger,Layered pasta with tomato sauce,True,27
220,22,Spicy Tuna Roll,11.58,Salad,Juicy beef patty with cheese,True,22
221,23,Margherita Pizza,7.36,Soup,Classic pasta with rich sauce,False,29
222,23,Penne Arrabbiata,6.41,Burger,Fried eggplant with marinara,True,26
223,23,Grilled Cheese,13.28,Sushi,Classic pasta with rich sauce,False,25
224,23,Spicy Tuna Roll,12.83,Appetizer,Fresh mozzarella with basil,True,25
225,23,Garlic Bread,16.38,Sushi,Battered fish served with fries,True,12
226,23,Chicken Wrap,11.33,Appetizer,Traditional pizza with mozzarella,True,11
227,23,Vegetable Stir Fry,6.5,Side Dish,Breaded chicken in marinara sauce,True,13
228,23,Cheeseburger,6.04,Salad,Stir-fried vegetables with soy sauce,False,30
229,23,Fried rice,8.28,Pasta,Grilled salmon with seasoning,False,13
230,23,Fried Chicken,16.95,Wrap,Layered pasta with tomato sauce,True,21
231,24,Vegetable Lasagna,19.05,Taco,Stir-fried vegetables with soy sauce,True,24
232,24,Caprese Salad,5.68,Pizza,Crispy fried chicken,True,22
233,24,Paneer Cheeseburger,12.8,Burger,Seasoned beef in tacos,False,28
234,24,Vegetable Stir Fry,5.7,Pasta,Crispy garlic bread,True,13
235,24,Spicy Tuna Roll,9.79,Soup,Crispy garlic bread,True,23
236,24,Parmesan,13.54,Burger,Vegetable soup with pasta,False,22
237,24,Eggplant Parmesan,12.37,Side Dish,Fresh salad with caesar dressing,True,12
238,24,Beef,5.65,Salad,Crispy garlic bread,False,18
239,24,Beef Tacos,5.6,Main Course,Grilled salmon with seasoning,False,15
240,24,Cheeseburger,11.86,Pizza,Seasoned beef in tacos,True,28
241,25,Pasta Salad,5.96,Pizza,Fried eggplant with marinara,True,15
242,25,Chicken Wrap,6.76,Salad,Stir-fried vegetables with soy sauce,False,29
243,25,Fried Chicken,13.21,Sushi,Vegetable soup with pasta,True,10
244,25,Fish and Chips,13.06,Burger,Traditional pizza with mozzarella,True,20
245,25,Caprese Salad,14.33,Side Dish,Traditional pizza with mozzarella,True,16
246,25,Penne Arrabbiata,6.56,Pasta,Grilled chicken in tortilla wrap,False,18
247,25,Minestrone Soup,9.94,Burger,Stir-fried vegetables with soy sauce,True,29
248,25,Caesar Salad,7.24,Side Dish,Creamy pasta with alfredo sauce,True,18
249,25,Beef Tacos,13.06,Sushi,Creamy pasta with alfredo sauce,False,25
250,25,Vegetable Lasagna,6.43,Burger,Classic pasta with rich sauce,True,30
251,26,Penne Arrabbiata,7.52,Soup,Crispy garlic bread,True,16
